School,W-L%,SRS,SOS,Conf W-L%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Seed,Sort,Composite
Weber State ,0.743,0.18,-5.13,0.833333333,68.6,109.4,0.436,0.416,0.585,52.6,52.5,7.2,7.7,0.559,16.9,26.5,0.294,15,9,-18
Dayton ,0.758,11.34,4.76,0.777777778,68.6,104.5,0.408,0.35,0.546,53.2,57.4,8.6,12.2,0.516,16.3,28.7,0.272,7,8,-19
Chattanooga ,0.829,3.24,-3.46,0.833333333,68.1,110.5,0.413,0.371,0.565,52.3,56.2,11.3,13.1,0.524,15.7,32.6,0.304,12,7,-25
Austin Peay ,0.5,-6.04,-2.98,0.4375,70.5,106.4,0.457,0.315,0.549,51.8,50.7,9.7,7.7,0.516,16.8,33,0.306,16,6,-26
Green Bay ,0.639,1.16,-0.67,0.611111111,77.3,107.1,0.429,0.311,0.533,48.7,47.8,12.7,11.1,0.5,13.5,30.9,0.282,14,5,-27
Stony Brook ,0.788,3.75,-5.28,0.875,67.8,112,0.32,0.3,0.548,55.4,58,9.1,12.1,0.524,14.2,36,0.215,13,4,-28
North Carolina-Asheville ,0.647,1.1,-3.25,0.666666667,70.4,105.8,0.41,0.306,0.541,51.5,47,12.9,9,0.505,15.9,31.9,0.284,15,3,-30
Hampton ,0.656,-8.74,-8.45,0.8125,71.7,101,0.414,0.345,0.502,53.1,47,7.2,9,0.464,15.7,34.6,0.273,16,2,-36
Holy Cross ,0.429,-11.2,-6.11,0.277777778,64.6,98.4,0.361,0.409,0.515,45.6,61.9,9.5,7.8,0.479,14.9,23.1,0.248,16,1,-39
North Carolina ,0.825,24.84,11.76,0.777777778,72.6,116,0.348,0.303,0.55,58.2,58.9,9.7,9.7,0.519,13.4,41.3,0.244,1,64,29.2
Gonzaga ,0.949,25.26,4.13,0.944444444,70.9,116.4,0.39,0.329,0.596,54.7,51.8,9.6,11.2,0.567,14.2,29.8,0.28,1,63,23.5
South Carolina ,0.703,17.52,10.16,0.666666667,69.9,102.9,0.398,0.334,0.518,50.8,50.6,11,11.1,0.477,15.5,33.5,0.278,7,62,21.6
Oregon ,0.846,20.8,8.38,0.888888889,68.8,114.2,0.347,0.388,0.582,52.9,56.3,9.4,17.2,0.554,14.7,32.2,0.247,3,61,18.6
Kansas ,0.861,23.53,12.23,0.888888889,71.4,115.4,0.36,0.359,0.583,53,54.5,9.6,11.2,0.561,15.1,33.9,0.244,1,60,28
Florida ,0.75,22.4,11.01,0.777777778,70.1,110,0.402,0.366,0.556,51.3,47.2,10.7,11.8,0.516,14.6,31.8,0.293,4,59,17.8
Kentucky ,0.842,23.88,10.49,0.888888889,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13,0.529,13.4,33.2,0.288,2,58,14.3
Xavier ,0.632,14.8,11.51,0.5,68.3,109,0.41,0.361,0.553,54.4,57,8.8,7.7,0.519,15.7,34.4,0.283,11,57,12.5
Arizona ,0.865,18.25,7.63,0.888888889,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.31,2,56,14.3
UCLA ,0.861,20.67,6.39,0.833333333,74.2,121,0.268,0.376,0.618,52.4,63.7,7.9,12.5,0.598,13.4,28.9,0.198,3,55,12
West Virginia ,0.757,24.45,9.67,0.666666667,71.4,112.2,0.389,0.325,0.545,52.1,57.3,13.8,14.2,0.513,14.1,37.7,0.266,4,54,11
Wisconsin ,0.73,19.4,9.4,0.666666667,64.5,110.7,0.329,0.369,0.542,54.7,51.9,10.3,9.8,0.521,14.3,35.7,0.212,8,53,10
Butler ,0.735,17.7,10.23,0.666666667,67.3,112.6,0.371,0.376,0.581,50.6,50,8.9,8.4,0.546,13.4,27.1,0.275,4,52,9
Michigan ,0.684,18.8,10.17,0.555555556,63.8,116.5,0.301,0.451,0.601,47.9,52.6,9,7.4,0.57,12.8,24.5,0.234,7,51,7.3
Baylor ,0.771,19.75,11.87,0.666666667,65.3,111.5,0.338,0.328,0.562,56.5,59.1,7.9,13,0.53,17.1,40.2,0.244,3,50,6.7
Purdue ,0.771,20.13,8.79,0.777777778,70,112.6,0.333,0.383,0.589,54.9,65.3,7.3,6.1,0.557,16.1,30.7,0.252,4,49,0
Villanova ,0.889,23.8,9.28,0.833333333,65.6,117.6,0.35,0.433,0.612,53,52.3,11,9,0.575,15,30,0.276,1,48,11.5
Duke ,0.757,21.56,10.91,0.611111111,69.9,115.7,0.393,0.383,0.588,51.9,47.5,8.7,10.9,0.548,14.2,31.6,0.299,2,47,10.5
Louisville ,0.735,22.47,11.15,0.666666667,68.5,112,0.34,0.321,0.543,54.1,48.4,9.7,15.2,0.514,13.4,36.6,0.233,2,46,8.5
Rhode Island ,0.714,12.88,4.62,0.722222222,67.4,108.8,0.392,0.323,0.538,51.8,51,9.6,15.7,0.507,14,32.8,0.262,11,45,7.5
Iowa State ,0.686,20.51,11.94,0.666666667,70.6,112.5,0.276,0.393,0.572,47.7,53.6,10.8,8.9,0.55,12.6,25.6,0.194,5,44,6.5
Wichita State ,0.861,21.24,2.96,0.944444444,69.4,116.7,0.401,0.364,0.579,56.1,59.1,9.4,11.4,0.543,13.9,34.2,0.294,10,43,4.5
Cincinnati ,0.833,18.43,5.49,0.888888889,65.1,113.3,0.325,0.361,0.547,53.3,57.5,11.1,13.9,0.52,12.9,35.5,0.223,6,42,4
Michigan State ,0.571,13.67,10.5,0.555555556,68.2,105.1,0.335,0.38,0.563,52.6,65.3,6.3,11.9,0.54,18,29.1,0.224,9,41,3
Middle Tennessee ,0.861,9.8,-0.48,0.944444444,66.4,112.4,0.304,0.299,0.567,53.9,54.4,10.1,8.3,0.543,13.6,30.7,0.212,12,40,3
Arkansas ,0.722,14.04,8.6,0.666666667,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7,0.29,8,39,2.5
Saint Mary's (CA) ,0.853,16.75,2.19,0.888888889,61.3,117.6,0.278,0.414,0.602,57.2,63.1,6.9,8.5,0.578,15.2,33,0.207,7,38,2.5
Southern California ,0.722,11.48,6.4,0.555555556,70.1,111.2,0.368,0.366,0.56,50.3,56.4,9.9,13.3,0.522,13.7,30.9,0.273,11,37,1.5
Northwestern ,0.667,14.02,8.43,0.555555556,66.6,106.8,0.304,0.357,0.534,50.6,59.1,7.9,13.2,0.497,13.8,30.7,0.227,8,36,1
Notre Dame ,0.722,17.81,9.78,0.666666667,67.7,113.8,0.286,0.406,0.573,48.7,57.8,10.4,9.7,0.536,12.3,27.3,0.229,5,35,-2
Florida State ,0.743,18.87,8.87,0.666666667,72.6,113.1,0.384,0.313,0.566,52.7,49.3,10.2,13.7,0.537,14.1,33.6,0.265,3,34,-6.5
Virginia ,0.676,20.63,10.93,0.611111111,60.3,107.9,0.26,0.33,0.548,52.3,56.4,9.1,13.9,0.524,13.7,28.2,0.184,5,33,-7.5
Oklahoma State ,0.606,19.19,12.22,0.5,72.7,117.8,0.383,0.357,0.583,52.9,50.8,10.5,8.1,0.539,15.1,38.1,0.302,10,32,-1
Southern Methodist ,0.857,18.71,4.45,0.944444444,63.7,116.6,0.36,0.365,0.574,56.3,61.9,9,11.1,0.547,14.3,37.1,0.251,6,31,-1
Princeton ,0.767,6.57,-1.84,1,65.2,109.5,0.242,0.46,0.562,50,55.2,10.2,9.5,0.537,13.5,24.4,0.179,12,30,-2
Vanderbilt ,0.543,13.69,10.72,0.555555556,67.1,105.6,0.348,0.486,0.563,50,55.2,6.2,9.8,0.521,16.3,24.7,0.271,9,29,-2
North Carolina-Wilmington ,0.829,8.06,-0.55,0.833333333,71.5,118.1,0.317,0.411,0.578,51.6,52.7,9.3,8.2,0.555,12.4,32.8,0.219,12,28,-5
Bucknell ,0.743,5.89,-2.48,0.833333333,70.7,107.9,0.372,0.384,0.578,50.6,54.1,10.2,9.7,0.553,16.8,26.7,0.253,13,27,-6
Dayton ,0.75,12.98,4.27,0.833333333,69.4,108.9,0.436,0.381,0.571,49.7,61,11.2,11.9,0.538,15,25.8,0.301,7,26,-6
Seton Hall ,0.636,12.1,9.25,0.555555556,69,104.9,0.376,0.307,0.526,54.7,46.4,9.9,6.6,0.499,16.4,35.7,0.242,9,25,-6
Virginia Commonwealth ,0.743,11.57,3.77,0.777777778,69,106.8,0.364,0.294,0.544,51.8,55.6,10.7,10.6,0.51,15.3,31.2,0.257,10,24,-8
Minnesota ,0.706,14.56,8.82,0.611111111,70.3,104.6,0.396,0.299,0.528,50.5,57.2,7.9,15.9,0.487,14,29.6,0.281,5,23,-9
Northern Kentucky ,0.686,-0.17,-2.84,0.666666667,70.8,107.3,0.363,0.422,0.557,53.1,52.4,8.1,7.1,0.529,16.4,31.7,0.247,15,22,-9
